estadio,ano,partidas,vitorias_casa,vitorias_fora,empates
Arena MRV,2024,16,7,3,6
Arena Castelão,2024,18,13,0,5
 Alfredo Jaconi,2024,18,8,6,4
Arena Barueri,2024,2,0,2,0
Estádio Nilton Santos,2024,18,13,2,3
Allianz Parque,2024,15,10,3,2
Estádio Antônio Accioly - Atlético Goianiense,2024,18,5,8,5
Arena Pantanal,2024,19,3,11,5
Kléber Andrade,2024,3,0,2,1
 Couto Pereira,2024,2,0,2,0
Estádio Presidente Vargas,2024,1,1,0,0
 Orlando Scarpelli,2024,1,1,0,0
Estádio Francisco Stédile | Centenário,2024,4,2,1,1
Estádio Independência,2024,4,1,2,1
Arena BRB Mané Garrincha,2024,6,2,1,3
Arena Condá,2024,1,1,0,0
