estadio,ano,mandante,partidas,vitorias_casa,vitorias_fora,empates
Estádio Vasco da Gama,2019,Vasco,15,7,5,3
Arena Castelão,2019,Fortaleza,19,11,6,2
Estádio Urbano Caldeira,2019,Santos,18,13,1,4
Estádio Nilton Santos,2019,Botafogo-RJ,18,9,7,2
Arena da Amazônia,2019,Vasco,1,0,0,1
Mineirão,2019,Atletico-MG,4,2,2,0
Estádio Municipal Paulo Machado de Carvalho,2019,Santos,1,1,0,0
Estádio Municipal Paulo Machado de Carvalho,2019,Palmeiras,4,3,0,1
Estádio Nacional de Brasília,2019,Botafogo-RJ,1,0,1,0
Estádio Raimundo Sampaio,2019,Cruzeiro,2,0,2,0
Estádio Nilton Santos,2019,Flamengo,1,1,0,0
Estádio de Pituaçu,2019,Bahia,3,1,2,0
Estádio Municipal Paulo Machado de Carvalho,2019,Sao Paulo,2,1,0,1
Estádio Francisco Stédile (Centenário),2019,Gremio,2,2,0,0
Estádio Nacional de Brasília,2019,CSA,1,0,1,0
Kléber Andrade,2019,Vasco,1,0,0,1
Estádio Nacional de Brasília,2019,Vasco,1,0,1,0
Estádio Nacional de Brasília,2019,Avai,1,0,1,0
Estádio Nacional de Brasília,2019,Fluminense,1,1,0,0
Estádio Brinco de Ouro,2019,Palmeiras,1,1,0,0
Maracanã,2019,Vasco,1,0,0,1
Adelmar da Costa Carvalho,2020,Sport,13,6,6,1
Couto Pereira,2020,Coritiba,13,3,7,3
Arena Castelão,2020,Fortaleza,14,5,4,5
Maracanã,2020,Flamengo,13,7,2,4
Estádio Urbano Caldeira,2020,Santos,14,6,2,6
Arena do Grêmio,2020,Gremio,13,8,1,4
Estádio Joaquim Américo Guimarães,2020,Athletico-PR,14,6,5,3
Nabizão,2020,Bragantino,13,6,4,3
Mineirão,2020,Atletico-MG,14,10,1,3
Estádio de Pituaçu,2020,Bahia,9,4,4,1
Estádio Olímpico Pedro Ludovico Teixeira,2020,Atletico-GO,10,2,3,5
Arena Castelão,2020,Ceara,13,5,3,5
Maracanã,2020,Fluminense,13,6,3,4
Morumbi,2020,Sao Paulo,13,9,0,4
Estádio José Pinheiro Borda,2020,Internacional,13,8,1,4
Estádio Vasco da Gama,2020,Vasco,13,4,5,4
Allianz Parque,2020,Palmeiras,12,6,2,4
Estádio da Serrinha,2020,Goias,14,4,6,4
Neo Química Arena,2020,Corinthians,13,5,3,5
Estádio Nilton Santos,2020,Botafogo-RJ,14,2,7,5
Morumbi,2020,Palmeiras,1,1,0,0
Estádio Nilton Santos,2020,Fluminense,1,1,0,0
Itaipava Arena Fonte Nova,2020,Bahia,5,2,3,0
Estádio Antônio Accioly,2020,Atletico-GO,3,1,1,1
Arena do Grêmio,2021,Gremio,25,10,7,8
Estádio Nilton Santos,2021,Botafogo-RJ,5,1,4,0
Adelmar da Costa Carvalho,2021,Sport,17,3,8,6
Couto Pereira,2021,Coritiba,6,1,2,3
